Date,Number of lots,Sale total
12-12-2021,201,NA
09-11-2021,122,NA
05-10-2021,86,NA
13-9-2021,NA,NA
09-8-2021,268,NA
25-7-2021,69,NA
24-7-2021,115,NA
10-7-2021,66,NA
10-7-2021,695,NA
04-7-2021,224,20000
20-6-2021,186,NA
29-11-2020,254,NA
15-11-2020,174,459167
10-11-2020,102,NA
07-11-2020,787,NA
13-10-2020,123,NA
11-10-2020,531,NA
27-9-2020,73,NA
21-9-2020,98,NA
20-9-2020,74,NA
18-9-2020,124,NA
14-9-2020,86,NA
14-9-2020,177,NA
13-9-2020,108,NA
07-9-2020,194,NA
06-9-2020,96,NA
31-8-2020,206,NA
30-8-2020,91,NA
19-8-2020,77,NA
17-8-2020,162,NA
03-8-2020,190,NA
02-8-2020,62,NA
27-7-2020,153,NA
26-7-2020,98,NA
20-7-2020,41,10050
07-7-2020,60,NA
07-7-2020,204,561594
29-6-2020,169,NA
28-6-2020,67,NA
22-6-2020,NA,NA
21-6-2020,NA,NA
21-6-2020,NA,NA
17-6-2020,NA,NA
15-6-2020,NA,NA
15-6-2020,NA,NA
14-6-2020,NA,NA
10-6-2020,20,NA
09-6-2020,23,NA
09-6-2020,84,NA
08-6-2020,NA,NA
08-6-2020,NA,NA
07-6-2020,NA,NA
04-6-2020,191,NA
03-6-2020,NA,NA
02-6-2020,87,NA
02-6-2020,NA,NA
01-6-2020,NA,NA
31-5-2020,NA,NA
28-5-2020,109,NA
27-5-2020,33,NA
27-5-2020,120,NA
26-5-2020,68,2433400
25-5-2020,NA,NA
25-5-2020,103,NA
24-5-2020,NA,NA
24-5-2020,NA,NA
24-5-2020,66,NA
21-5-2020,91,NA
19-5-2020,27,NA
19-5-2020,74,1163000
18-5-2020,NA,NA
18-5-2020,33,NA
18-5-2020,163,NA
18-5-2020,133,NA
17-5-2020,NA,NA
16-5-2020,NA,NA
13-5-2020,10,NA
13-5-2020,209,NA
12-5-2020,83,NA
12-5-2020,80,NA
11-5-2020,NA,NA
11-5-2020,216,NA
11-5-2020,NA,NA
10-5-2020,NA,NA
09-5-2020,NA,NA
04-5-2020,NA,NA
